Status,Last Plugin Update,Group IDs,Platform,Health,Profile UUID,Agent Name,Linked On,Last Scanned,IP Address,Version,Groups,Profile Name,Last Connect,Agent UUID,Agent ID
Online,2026-06-15T12:58Z,|119687|,WINDOWS (win-x86-64),WARNING,00000000-0000-0000-0000-000000000000,SRVTNB01,2025-08-03T17:54:36.551Z,2026-06-16T13:11:46.593Z,10.0.2.125,11.2.0 (#301),|Laboratorio|,Default,2026-06-16T19:20:29.860Z,00020268-5818-4ea4-9dc4-1c75e879ca38,6764131
Online,2026-06-16T01:51Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-MSS-072,2026-05-27T16:59:25.380Z,2026-06-16T14:47:56.812Z,192.168.0.11,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:34:55.435Z,02a153c9-50b2-425c-a015-efd1fd79a75b,10629499
Online,2026-06-16T08:07Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-MSS-047,2026-02-09T14:40:08.340Z,2026-06-16T15:35:42.881Z,10.10.0.246,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:47:09.667Z,0358b7c2-5287-42f9-b19c-32031966ae6e,9188451
Online,2026-06-16T08:07Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-MSS-025,2025-12-01T23:18:29.994Z,2026-06-15T21:36:12.277Z,192.168.1.78,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:27:43.525Z,0496bf81-0286-4e5f-9b34-b442147dfb70,8281509
Online,2026-06-16T01:51Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-MSS-050,2026-02-10T13:58:36.915Z,2026-06-16T13:16:12.686Z,10.10.0.84,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:24:59.983Z,09c862d2-40db-49d0-a91f-21140c7c3145,9204214
Online,2026-06-16T08:07Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-PMO-016,2026-01-05T13:01:12.446Z,2026-06-15T17:00:02.900Z,192.168.0.8,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:30:47.190Z,0a2eda41-34fe-4916-8582-a9983303e34d,8699790
Online,2026-06-15T12:58Z,|119687|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,SRVADMP01,2025-06-24T11:25:41.200Z,2026-06-16T12:53:10.700Z,10.0.2.87,11.2.0 (#301),|Laboratorio|,Default,2026-06-16T19:35:45.222Z,0d3e32e3-e10e-43ba-a612-82c64583e4ec,6220500
Online,2026-06-16T01:51Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-GRC-001,2025-05-15T16:24:33.442Z,2026-06-16T13:14:06.677Z,192.168.15.7,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:22:44.335Z,0df5996e-a9e5-441c-8cbb-feac93712028,5766590
Online,2026-06-16T01:51Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-MSS-040,2025-10-17T17:51:35.780Z,2026-06-16T13:08:32.213Z,192.168.3.21,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:17:13.804Z,0f08342b-031b-4a43-9cf8-42e3884efb80,7685380
Online,2026-06-16T01:51Z,|104424|,WINDOWS (win-x86-64),HEALTHY,00000000-0000-0000-0000-000000000000,NTB-COM-016,2026-02-19T06:35:24.900Z,2026-06-16T12:51:54.763Z,192.168.68.100,11.2.0 (#301),|Administrativo|,Default,2026-06-16T19:29:37.020Z,10d94532-b67d-4df1-af24-e1e4dfa80ded,9308333
