acr.acr_override_processing,acr.calculated_score,acr.score,first_observed,id,is_licensed,last_authenticated_scan_time,last_licensed_scan_time,last_observed,name,sc_host_uuid,sources,types
false,,4.0,2026-03-11T17:44:39.818Z,0007f095-c6f4-4ad5-9479-90ded97660a7,true,2026-05-26T13:09:47.506Z,2026-05-26T13:09:47.506Z,2026-06-16T12:16:33.374Z,ntb-mss-070,,"ManageEngine, NESSUS_AGENT",host
,,,2026-03-03T12:16:05.000Z,00cfc6c4-5192-48e1-9645-be18d8913f14,false,,,2026-06-16T12:12:06.074Z,10.0.3.150,,NESSUS_SCAN,host
false,,4.0,2025-02-21T00:20:12.547Z,056ad5e6-22ab-46b8-8ba5-ded5ef50e466,true,2026-06-16T12:54:27.611Z,2026-06-16T12:54:27.611Z,2026-06-16T16:53:06.473Z,ntb-grc-003,,"ManageEngine, NESSUS_AGENT",host
false,,4.0,2026-04-27T15:39:24.013Z,05878952-7741-4d9a-a244-a7f575ae4339,true,2026-05-28T16:01:04.030Z,2026-05-28T16:01:04.030Z,2026-05-28T16:01:04.030Z,ntb-com-013,,"ManageEngine, NESSUS_AGENT",host
false,,5.0,2025-03-21T04:38:06.911Z,098ce18a-20e2-489d-be68-d7538037a5aa,true,2026-06-16T13:09:06.094Z,2026-06-16T13:09:06.094Z,2026-06-16T16:02:55.172Z,ntb-mss-016,,"ManageEngine, NESSUS_AGENT",host
false,,4.0,2026-05-07T20:35:38.801Z,0a1b2850-cafb-4ba1-b0e4-c0bba1ee23d3,true,2026-06-10T12:47:00.781Z,2026-06-10T12:47:00.781Z,2026-06-11T10:35:19.437Z,ntb-com-018,,"ManageEngine, NESSUS_AGENT",host
,,,2026-02-24T12:14:13.000Z,0a527c0c-e745-47f2-b9a9-a362442d197c,false,,,2026-06-16T12:12:06.074Z,10.0.3.133,,NESSUS_SCAN,host
false,,5.0,2025-04-28T14:01:54.164Z,0a94878a-ed69-4dd1-909b-20327de20ec9,true,2026-06-16T13:01:40.805Z,2026-06-16T13:01:40.805Z,2026-06-16T14:47:20.240Z,ntb-mss-029,,NESSUS_AGENT,host
false,,4.0,2025-01-31T14:37:02.298Z,0c607596-0ff0-4adb-96de-7ba9be2619f2,true,2026-06-11T13:11:57.668Z,2026-06-11T13:11:57.668Z,2026-06-11T18:01:25.487Z,ntb-mss-002,,"ManageEngine, NESSUS_AGENT",host
false,,4.0,2024-10-14T12:01:36.849Z,0d8dca00-99ae-4aea-8be1-cfe4ffab753d,true,2026-06-16T12:53:28.048Z,2026-06-16T12:53:28.048Z,2026-06-16T12:57:27.775Z,ntb-pss-021,,"ManageEngine, NESSUS_AGENT",host
