asset.display_ipv4_address,asset.name,asset_id,definition.family,definition.id,definition.name,definition.vpr.score,finding_id,first_observed,last_seen,severity,state
136.143.191.172,shieldsec.zohodesk.com,da0d0e59-02e2-4109-9c7d-995a9f2f1301,Web Applications,114608,REST API Detected,,0002d417-228d-51d5-a85c-15184d5094d2,2025-12-11T03:24:39.979Z,2026-01-22T03:43:47.227Z,Info,FIXED
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,112553,Missing 'Cache-Control' Header,1.4,00045bf8-5132-525e-b981-73bf2eb30ea3,2026-03-05T01:00:09.532Z,2026-03-05T01:00:09.532Z,Low,NEW
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,98056,Missing HTTP Strict Transport Security Policy,3.25,000498dc-24d6-581e-b184-a6cceef1ce72,2026-02-19T04:18:49Z,2026-02-19T04:18:49Z,Medium,NEW
89.117.7.156,www.shieldsec.com.br,81b1ec98-68e8-433f-8260-d9208540b3c0,Web Applications,98050,Interesting Response,,0005f57d-e6b0-5bb6-ac73-b0cbba23398f,2025-09-04T01:59:22.404Z,2025-10-02T01:26:11.532Z,Info,FIXED
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,98063,Cookie Without HttpOnly Flag Detected,1.4,000a333e-3808-59cf-adb8-033a6734f0c1,2025-09-04T01:16:06Z,2025-09-04T01:16:06Z,Low,NEW
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,98618,HTTP Header Information Disclosure,2.9,00124819-bc2d-527e-a5ce-6d318b0c0e0c,2026-01-01T01:53:46Z,2026-01-01T01:53:46Z,Low,NEW
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,98060,Missing 'X-Frame-Options' Header,2.15,0016a667-09bd-5bfd-b475-0029562ee6aa,2026-01-01T01:53:49Z,2026-01-01T01:53:49Z,Low,NEW
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,98618,HTTP Header Information Disclosure,2.9,0023c9f2-f8a9-5397-bb57-97c04ec66e48,2025-12-04T01:45:05Z,2025-12-04T01:45:05Z,Low,NEW
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,98618,HTTP Header Information Disclosure,2.9,002f6a5b-1147-55a0-aa21-0d7c46c3c009,2026-03-05T01:00:09.532Z,2026-03-05T01:00:09.532Z,Low,NEW
89.117.7.156,shieldsec.com.br,1933fca8-0a79-4552-9463-d31aaf56d825,HTTP Security Header,98060,Missing 'X-Frame-Options' Header,2.15,003dcbcb-1079-5e0a-91ee-473e045e7215,2026-02-26T01:00:20.128Z,2026-02-26T01:00:20.128Z,Low,NEW
